,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,STD1,,9.07514159299925,10.4598476393137,1.21525234240129,3000000,6.47712125471966,3000000,0,60,
,A02,FAM,,Std-01,STD1,,11.3491273739322,10.4598476393137,1.21525234240129,3000000,6.47712125471966,3000000,0,60,
,A03,FAM,,Std-01,STD1,,10.9552739510097,10.4598476393137,1.21525234240129,3000000,6.47712125471966,3000000,0,60,
,A04,FAM,,Unkn-01,4775B,,27.2766116839626,27.3628355100241,0.123635301669316,29.2274786553615,1.46579135202206,27.5591317146732,2.36269657199688,60,
,A05,FAM,,Unkn-01,4775B,,27.5044856221623,27.3628355100241,0.123635301669316,24.8555201053557,1.39542285524499,27.5591317146732,2.36269657199688,60,
,A06,FAM,,Unkn-01,4775B,,27.3074092239473,27.3628355100241,0.123635301669316,28.5943963833022,1.45628093319016,27.5591317146732,2.36269657199688,60,
,A07,FAM,,Unkn-09,4802B,,26.2356707218495,26.0189757327632,0.329739715251067,61.2686910088258,1.7872386018316,72.8484454030028,18.0229530391917,60,
,A08,FAM,,Unkn-09,4802B,,26.1817568812892,26.0189757327632,0.329739715251067,63.6630495681626,1.8038874382263,72.8484454030028,18.0229530391917,60,
,A09,FAM,,Unkn-09,4802B,,25.6394995951509,26.0189757327632,0.329739715251067,93.61359563202,1.97133892650716,72.8484454030028,18.0229530391917,60,
,A10,FAM,,Neg Ctrl-01,,,NaN,0,0,NaN,NaN,0,0,60,
,B01,FAM,,Std-02,STD2,,14.3906959748011,14.8155626424671,0.795416530653346,300000,5.47712125471966,300000,0,60,
,B02,FAM,,Std-02,STD2,,15.7331936033993,14.8155626424671,0.795416530653346,300000,5.47712125471966,300000,0,60,
,B03,FAM,,Std-02,STD2,,14.3227983492007,14.8155626424671,0.795416530653346,300000,5.47712125471966,300000,0,60,
,B04,FAM,,Unkn-02,4792B,,26.2171615787833,26.2599755725098,0.146468885834395,62.0803716837511,1.7929543084389,60.4338314019861,6.15327886454253,60,
,B05,FAM,,Unkn-02,4792B,,26.1396844537417,26.2599755725098,0.146468885834395,65.596337702821,1.81687959303641,60.4338314019861,6.15327886454253,60,
,B06,FAM,,Unkn-02,4792B,,26.4230806850043,26.2599755725098,0.146468885834395,53.6247848193861,1.72936556249925,60.4338314019861,6.15327886454253,60,
,B07,FAM,,Unkn-10,4739B,,26.5252046854727,26.5745951173995,0.136455570440117,49.8688337693008,1.69782921194245,48.2967878558527,4.57251337751523,60,
,B08,FAM,,Unkn-10,4739B,,26.4697119338138,26.5745951173995,0.136455570440117,51.8758974655078,1.71496562318417,48.2967878558527,4.57251337751523,60,
,B09,FAM,,Unkn-10,4739B,,26.728868732912,26.5745951173995,0.136455570440117,43.1456323327495,1.63493683829474,48.2967878558527,4.57251337751523,60,
,B10,FAM,,Neg Ctrl-01,,,NaN,0,0,NaN,NaN,0,0,60,
,C01,FAM,,Std-03,STD3,,18.0988930182199,17.544903725704,0.480822031751716,30000,4.47712125471966,30000,0,60,
,C02,FAM,,Std-03,STD3,,17.2997166894029,17.544903725704,0.480822031751716,30000,4.47712125471966,30000,0,60,
,C03,FAM,,Std-03,STD3,,17.2361014694893,17.544903725704,0.480822031751716,30000,4.47712125471966,30000,0,60,
,C04,FAM,,Unkn-03,4798B,,25.9684457747536,26.0208531809279,0.0453889946135438,74.0898758589049,1.86975886710205,71.404722175794,2.32554932880931,60,
,C05,FAM,,Unkn-03,4798B,,26.0465482922391,26.0208531809279,0.0453889946135438,70.0874821509708,1.84564045850572,71.404722175794,2.32554932880931,60,
,C06,FAM,,Unkn-03,4798B,,26.0475654757909,26.0208531809279,0.0453889946135438,70.0368085175061,1.84532634765105,71.404722175794,2.32554932880931,60,
,C07,FAM,,Unkn-11,4817B,,26.5917450814096,26.5509737215276,0.0501122598592725,47.5643141082666,1.67728123847071,48.9842316693253,1.75791662027538,60,
,C08,FAM,,Unkn-11,4817B,,26.4950280816846,26.5509737215276,0.0501122598592725,50.9504334333926,1.70714788288474,48.9842316693253,1.75791662027538,60,
