,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,STD1,,9.40078118047152,9.77202938102694,0.652711600909228,2000000,6.30102999566398,2000000,0,58,
,A02,SYBR,,Std-01,STD1,,9.3896186987871,9.77202938102694,0.652711600909228,2000000,6.30102999566398,2000000,0,58,
,A03,SYBR,,Std-01,STD1,,10.5256882638222,9.77202938102694,0.652711600909228,2000000,6.30102999566398,2000000,0,58,
,A04,SYBR,,Unkn-01,4775B,,15.2908100545448,15.2518588479638,0.0579362218953169,155546.400826283,5.19185996646132,159320.41695082,5636.33691472733,58,
,A05,SYBR,,Unkn-01,4775B,,15.1852800766597,15.2518588479638,0.0579362218953169,165799.363115363,5.21958285796326,159320.41695082,5636.33691472733,58,
,A06,SYBR,,Unkn-01,4775B,,15.2794864126869,15.2518588479638,0.0579362218953169,156615.486910815,5.19483470502303,159320.41695082,5636.33691472733,58,
,A07,SYBR,,Unkn-09,4802B,,15.7818624751702,15.7500269677233,0.351428359821737,115573.887504413,5.06285972168165,119619.503317902,25639.9963722599,58,
,A08,SYBR,,Unkn-09,4802B,,15.3837640021927,15.7500269677233,0.351428359821737,147041.802528347,5.16744081792204,119619.503317902,25639.9963722599,58,
,A09,SYBR,,Unkn-09,4802B,,16.084454425807,15.7500269677233,0.351428359821737,96242.8199209472,4.98336833937507,119619.503317902,25639.9963722599,58,
,A10,SYBR,,Neg Ctrl,Neg,,29.5975121515335,29.5975121515335,0,27.1310610565261,1.43346677872228,27.1310610565261,0,58,
,B01,SYBR,,Std-02,STD2,,16.4704946934377,15.7784873167301,0.656844787285797,200000,5.30102999566398,200000,0,58,
,B02,SYBR,,Std-02,STD2,,15.7013505425201,15.7784873167301,0.656844787285797,200000,5.30102999566398,200000,0,58,
,B03,SYBR,,Std-02,STD2,,15.1636167142325,15.7784873167301,0.656844787285797,200000,5.30102999566398,200000,0,58,
,B04,SYBR,,Unkn-02,4792B,,15.5259461782199,15.6800210055733,0.142566995289702,134924.039848492,5.13008933620558,123224.762152387,10740.3650287382,58,
,B05,SYBR,,Unkn-02,4792B,,15.8072685659133,15.6800210055733,0.142566995289702,113811.330802995,5.05618550160431,123224.762152387,10740.3650287382,58,
,B06,SYBR,,Unkn-02,4792B,,15.7068482725865,15.6800210055733,0.142566995289702,120938.915805675,5.08256607092013,123224.762152387,10740.3650287382,58,
,B07,SYBR,,Unkn-10,4739B,,15.3999998218098,15.3550255018661,0.134708015672638,145604.783364041,5.16317564252155,149955.610003483,12427.7137567027,58,
,B08,SYBR,,Unkn-10,4739B,,15.20358396083,15.3550255018661,0.134708015672638,163973.776376598,5.21477439874544,149955.610003483,12427.7137567027,58,
,B09,SYBR,,Unkn-10,4739B,,15.4614927229585,15.3550255018661,0.134708015672638,140288.27026981,5.14702136047914,149955.610003483,12427.7137567027,58,
,B10,SYBR,,Neg Ctrl,Neg,,28.9307613410685,28.9307613410685,0,40.6090909178513,1.6086232674073,40.6090909178513,0,58,
,C01,SYBR,,Std-03,STD3,,20.093683240625,19.188491488665,0.787886510853146,20000,4.30102999566398,20000,0,58,
,C02,SYBR,,Std-03,STD3,,18.8148644237565,19.188491488665,0.787886510853146,20000,4.30102999566398,20000,0,58,
,C03,SYBR,,Std-03,STD3,,18.6569268016135,19.188491488665,0.787886510853146,20000,4.30102999566398,20000,0,58,
,C04,SYBR,,Unkn-03,4798B,,14.7582995400034,14.9471926423573,0.171380507476638,214660.095308081,5.33175131784921,192177.355255881,20257.3287045903,58,
,C05,SYBR,,Unkn-03,4798B,,14.9905429582985,14.9471926423573,0.171380507476638,186526.527784375,5.27074060585561,192177.355255881,20257.3287045903,58,
,C06,SYBR,,Unkn-03,4798B,,15.0927354287701,14.9471926423573,0.171380507476638,175345.442675187,5.24389448281097,192177.355255881,20257.3287045903,58,
,C07,SYBR,,Unkn-11,4817B,,15.2730035289011,15.2906982860774,0.058972308916603,157230.85237428,5.19653776881037,155622.584324229,5509.79641120573,58,
