Sample,SQ.Mean_SCNAG,SQ.Mean_mtDNA,mtDNA.Mean,Cq.Mean_SCNAG,SQ.Mean_Telomeres,Cq.Mean_Telomeres,Telomeres.per.cell,AgeCategory,Sex,Mom_ID,Cohort,Treatment,Died_InTrt,TimePoint
4625B,974.0627332,63.21475406,0.064898032,21.69972135,353530.2255,13.93420856,362.9440008,Younger,FALSE,4450,4,E,No,Baseline
4720B,165.4170622,128.7004163,0.778035921,24.19143663,126633.2464,15.67508931,765.5392057,Younger,FALSE,4374,5,E,No,Baseline
4737B,204.942183,30.2143487,0.147428647,23.89250377,90483.13549,16.19194267,441.5056684,Younger,FALSE,4210,6,C,Yes,Baseline
4738B,123.4994096,26.62164244,0.215560888,24.6023404,54701.82001,17.04049759,442.9318342,Younger,FALSE,4210,6,E,No,Baseline
4739B,92.00273001,48.29678786,0.524949508,25.02671685,149955.61,15.3550255,1629.903917,Younger,FALSE,4023,5,E,No,Baseline
4745B,175.2650448,54.82246395,0.312797478,24.11047205,95191.93894,16.10704684,543.1313417,Younger,FALSE,4111,6,E,No,Baseline
4758B,290.0632392,44.87241867,0.154698744,23.40453367,169281.3734,15.15161322,583.60161,Younger,FALSE,4147,7,E,No,Baseline
4768B,248.4030028,63.52162325,0.25572003,23.62920435,145122.3305,15.4100183,584.2213212,Younger,FALSE,4171,7,B,Yes,Baseline
4775B,216.3703407,27.55913171,0.127370191,23.815145,159320.417,15.25185885,736.3320519,Younger,FALSE,4171,7,C,Yes,Baseline
4784B,109.4248156,28.94593675,0.264528084,24.77242396,165005.4141,15.19324229,1507.93413,Younger,FALSE,4127,8,E,No,Baseline
4792B,117.6715199,60.4338314,0.513580784,24.6742961,123224.7622,15.68002101,1047.192747,Younger,FALSE,4168,10,B,No,Baseline
4798B,120.3870362,71.40472218,0.59312634,24.63754749,192177.3553,14.94719264,1596.329317,Younger,FALSE,4168,10,D,Yes,Baseline
4802B,233.075745,72.8484454,0.312552666,23.71191016,119619.5033,15.75002697,513.2215851,Younger,FALSE,4594,10,B,Yes,Baseline
4810B,85.19956238,15.22123646,0.178653928,25.1242866,94429.19265,16.12433731,1108.32955,Younger,FALSE,4601,12,B,Yes,Baseline
4817B,166.9956374,48.98423167,0.293326415,24.1803855,155622.5843,15.29069829,931.8961064,Younger,FALSE,NA,12,B,Yes,Baseline
