,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-1,,,11.0164885063876,11.0156000405872,0.0882401950695363,250000000,8.39794000867204,250000000,0,60,
,A02,FAM,,Std-1,,,10.9269189673237,11.0156000405872,0.0882401950695363,250000000,8.39794000867204,250000000,0,60,
,A03,FAM,,Std-1,,,11.1033926480504,11.0156000405872,0.0882401950695363,250000000,8.39794000867204,250000000,0,60,
,A04,FAM,,Unkn,4775 B,,26.0790840438705,26.0790840438705,0,6753.91139386401,3.82955535872635,6753.91139386401,0,60,
,A05,FAM,,Unkn,4775 B,,26.0926075247576,26.0926075247576,0,6690.99715656965,3.82549084532012,6690.99715656965,0,60,
,A06,FAM,,Unkn,4775 B,,26.0461227173475,26.0461227173475,0,6909.74406492222,3.83946196152029,6909.74406492222,0,60,
,A07,FAM,,Unkn,4802 B,,25.8064949087284,25.8064949087284,0,8156.10208045125,3.91148265269944,8156.10208045125,0,60,
,A08,FAM,,Unkn,4802 B,,25.7222827599272,25.7222827599272,0,8645.55361641881,3.93679280846681,8645.55361641881,0,60,
,A09,FAM,,Unkn,4802 B,,26.0022821210082,26.0022821210082,0,7122.59669709805,3.85263835397765,7122.59669709805,0,60,
,A10,FAM,,Unkn,4625 B,,26.4936097552602,26.4936097552602,0,5069.54169177577,3.70496869903164,5069.54169177577,0,60,
,A11,FAM,,Unkn,4625 B,,25.5442874372168,25.5442874372168,0,9778.89344052301,3.99028971369721,9778.89344052301,0,60,
,A12,FAM,,Unkn,4625 B,,25.8531810279925,25.8531810279925,0,7896.79805180963,3.89745103175674,7896.79805180963,0,60,
,B01,FAM,,Std-2,,,14.139514975122,14.1381079971325,0.00278312965793322,25000000,7.39794000867204,25000000,0,60,
,B02,FAM,,Std-2,,,14.1399067312285,14.1381079971325,0.00278312965793322,25000000,7.39794000867204,25000000,0,60,
,B03,FAM,,Std-2,,,14.1349022850471,14.1381079971325,0.00278312965793322,25000000,7.39794000867204,25000000,0,60,
,B04,FAM,,Unkn,4535 B,,26.1208806259169,26.1208806259169,0,6561.35143038834,3.81699329948433,6561.35143038834,0,60,
,B05,FAM,,Unkn,4535 B,,26.2182494670539,26.2182494670539,0,6133.78952423461,3.78772886945674,6133.78952423461,0,60,
,B06,FAM,,Unkn,4535 B,,26.3128740344697,26.3128740344697,0,5744.98947299669,3.75928923723255,5744.98947299669,0,60,
,B07,FAM,,Unkn,4739 B,,26.4472622906912,26.4472622906912,0,5234.78123000749,3.71889853652377,5234.78123000749,0,60,
,B08,FAM,,Unkn,4739 B,,26.0362582122211,26.0362582122211,0,6957.07621850747,3.84242676131307,6957.07621850747,0,60,
,B09,FAM,,Unkn,4739 B,,25.8686188326517,25.8686188326517,0,7812.88017987374,3.89281116392065,7812.88017987374,0,60,
,B10,FAM,,Unkn,4758 B,,26.1621707699039,26.1621707699039,0,6376.51596492957,3.80458345137043,6376.51596492957,0,60,
,B11,FAM,,Unkn,4758 B,,26.5423768798359,26.5423768798359,0,4901.30385299046,3.69031162713751,4901.30385299046,0,60,
,B12,FAM,,Unkn,4758 B,,26.0469089971612,26.0469089971612,0,6905.98520024149,3.83922564330675,6905.98520024149,0,60,
,C01,FAM,,Std-3,,,17.4210603180316,17.4368596335247,0.0264037615749612,2500000,6.39794000867204,2500000,0,60,
,C02,FAM,,Std-3,,,17.4673412497286,17.4368596335247,0.0264037615749612,2500000,6.39794000867204,2500000,0,60,
,C03,FAM,,Std-3,,,17.4221773328139,17.4368596335247,0.0264037615749612,2500000,6.39794000867204,2500000,0,60,
,C04,FAM,,Unkn,4531 B,,25.7575051103466,25.7575051103466,0,8437.36136017966,3.92620664972013,8437.36136017966,0,60,
,C05,FAM,,Unkn,4531 B,,25.8591607633461,25.8591607633461,0,7864.18657612716,3.89565380848904,7864.18657612716,0,60,
,C06,FAM,,Unkn,4531 B,,25.7685154540736,25.7685154540736,0,8373.31569465608,3.92289746549021,8373.31569465608,0,60,
,C07,FAM,,Unkn,4817 B,,26.2485303832076,26.2485303832076,0,6006.58836050602,3.77862787018834,6006.58836050602,0,60,
,C08,FAM,,Unkn,4817 B,,26.6024433162118,26.6024433162118,0,4701.73904133339,3.67225852099181,4701.73904133339,0,60,
,C09,FAM,,Unkn,4817 B,,26.337729511305,26.337729511305,0,5647.01402396982,3.75181886627861,5647.01402396982,0,60,
,C10,FAM,,Unkn,4817 D,,26.9154272711189,26.9154272711189,0,3786.08596544513,3.57819047066703,3786.08596544513,0,60,
,C11,FAM,,Unkn,4817 D,,26.8167512741827,26.8167512741827,0,4053.66419908882,3.60784776938831,4053.66419908882,0,60,
,C12,FAM,,Unkn,4817 D,,26.4482521964177,26.4482521964177,0,5231.19631073919,3.71860101807199,5231.19631073919,0,60,
,D01,FAM,,Std-4,,,20.8228021250874,20.8776021399208,0.063666347277354,250000,5.39794000867204,250000,0,60,
,D02,FAM,,Std-4,,,20.862562513075,20.8776021399208,0.063666347277354,250000,5.39794000867204,250000,0,60,
,D03,FAM,,Std-4,,,20.9474417816,20.8776021399208,0.063666347277354,250000,5.39794000867204,250000,0,60,
,D04,FAM,,Unkn,4792 B,,26.3209922840777,26.3209922840777,0,5712.8034003793,3.75684927856789,5712.8034003793,0,60,
,D05,FAM,,Unkn,4792 B,,26.2376295682185,26.2376295682185,0,6052.07268600619,3.7819041353032,6052.07268600619,0,60,
,D06,FAM,,Unkn,4792 B,,26.5607500755232,26.5607500755232,0,4839.37772049871,3.68478952075013,4839.37772049871,0,60,
,D07,FAM,,Unkn,4745 B,,26.3391415751777,26.3391415751777,0,5641.49837290933,3.75139446722122,5641.49837290933,0,60,
,D08,FAM,,Unkn,4745 B,,26.1190778491578,26.1190778491578,0,6569.5425251476,3.81753512820188,6569.5425251476,0,60,
,D09,FAM,,Unkn,4745 B,,26.0291822809891,26.0291822809891,0,6991.22772766819,3.84455344878312,6991.22772766819,0,60,
,D10,FAM,,Unkn,4737 B,,26.8641029528747,26.8641029528747,0,3922.98017155985,3.59361611302275,3922.98017155985,0,60,
,D11,FAM,,Unkn,4737 B,,26.8002218439541,26.8002218439541,0,4100.30089321798,3.61281572780983,4100.30089321798,0,60,
,D12,FAM,,Unkn,4737 B,,26.188981085784,26.188981085784,0,6259.29685537342,3.79652554902787,6259.29685537342,0,60,
,E01,FAM,,Std-5,,,24.1448307082075,24.1450614265516,0.0394824205025229,25000,4.39794000867204,25000,0,60,
,E02,FAM,,Std-5,,,24.1846587006408,24.1450614265516,0.0394824205025229,25000,4.39794000867204,25000,0,60,
,E03,FAM,,Std-5,,,24.1056948708066,24.1450614265516,0.0394824205025229,25000,4.39794000867204,25000,0,60,
,E04,FAM,,Unkn,4774 D,,26.0182507209035,26.0182507209035,0,7044.31802296339,3.84783895440773,7044.31802296339,0,60,
,E05,FAM,,Unkn,4774 D,,25.9797013805088,25.9797013805088,0,7234.77530779575,3.85942504767347,7234.77530779575,0,60,
