,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-1,STD1,,16.6993402266356,16.3927656015673,0.433533844849891,300000000000,11.4771212547197,300000000000,0,60,
,A02,SYBR,,Std-1,STD1,,16.5822035347891,16.3927656015673,0.433533844849891,300000000000,11.4771212547197,300000000000,0,60,
,A03,SYBR,,Std-1,STD1,,15.8967530432771,16.3927656015673,0.433533844849891,300000000000,11.4771212547197,300000000000,0,60,
,A04,SYBR,,Unkn,4775 B,,17.4205010966989,17.4205010966989,0,208048272473.01,11.3181641139835,208048272473.01,0,60,
,A05,SYBR,,Unkn,4775 B,,17.4081123418547,17.4081123418547,0,209774150437.736,11.3217519709218,209774150437.736,0,60,
,A06,SYBR,,Unkn,4775 B,,18.0214918148344,18.0214918148344,0,139352137519.869,11.1441136347355,139352137519.869,0,60,
,A07,SYBR,,Unkn,4802 B,,17.8127429211167,17.8127429211167,0,160165344951.541,11.2045685534184,160165344951.541,0,60,
,A08,SYBR,,Unkn,4802 B,,17.3347463111484,17.3347463111484,0,220292245021.122,11.3429992088901,220292245021.122,0,60,
,A09,SYBR,,Unkn,4802 B,,19.548520715472,19.548520715472,0,50335802993.7693,10.7018770011878,50335802993.7693,0,60,
,A10,SYBR,,Unkn,4625 B,,16.6475147272323,16.6475147272323,0,348357812510.372,11.5420255547647,348357812510.372,0,60,
,A11,SYBR,,Unkn,4625 B,,18.5711492355996,18.5711492355996,0,96589425533.0869,10.9849295831028,96589425533.0869,0,60,
,A12,SYBR,,Unkn,4625 B,,17.2419087229891,17.2419087229891,0,234361098771.485,11.3698855254734,234361098771.485,0,60,
,B01,SYBR,,Std-2,STD2,,20.9805506981768,20.7294335245142,0.220831271518124,30000000000,10.4771212547197,30000000000,0,60,
,B02,SYBR,,Std-2,STD2,,20.565513833696,20.7294335245142,0.220831271518124,30000000000,10.4771212547197,30000000000,0,60,
,B03,SYBR,,Std-2,STD2,,20.6422360416699,20.7294335245142,0.220831271518124,30000000000,10.4771212547197,30000000000,0,60,
,B04,SYBR,,Unkn,4535 B,,18.1647386032753,18.1647386032753,0,126656800937.25,11.1026285145389,126656800937.25,0,60,
