"Model","Predictor","Estimate","Std_Error","Test_Stat","P_Value","CI_Lower","CI_Upper"
"Glucose_Model","(Intercept)","0.628650053414252","2.15938187257673","0.291125002667593","0.770955718339169","-3.6036606457048","4.8609607525333"
"Glucose_Model","Glucose_Avg","-0.00819800380997339","0.00957296651656842","-0.856370258454858","0.391793010254536","-0.0269606734076553","0.0105646657877086"
"Ketone_Model","(Intercept)","-0.228658702745217","1.37320960310929","-0.166514057451592","0.867752421357421","-2.92010006806396","2.46278266257353"
"Ketone_Model","Ketone_Avg","-1.99952708722116","2.84015831762919","-0.704019587503227","0.481420575443952","-7.56613510016624","3.56708092572392"
"Hematocrit_Model","(Intercept)","-7.98705662243031","8.29056711844694","-0.963390864378711","0.335351409180881","-24.2362695859983","8.2621563411377"
"Hematocrit_Model","Hematocrit","0.124164541636204","0.15244561150424","0.814484198075784","0.415367621107975","-0.174623366513292","0.422952449785699"
"Telomeres_Model","(Intercept)","-0.0569477156272487","1.17100978450885","-0.0486312893202119","0.961213134186198","-2.3520847188086","2.2381892875541"
"Telomeres_Model","Blood_Telomeres.per.cell","-8.98409804923915e-05","0.00123308559416625","-0.0728586733292732","0.941918580405134","-0.00250664433491341","0.00232696237392863"
"Mito_Model","(Intercept)","0.578816467300399","1.02558354509458","0.564377685337198","0.572497122005794","-1.4312903442219","2.5889232788227"
"Mito_Model","Blood_mtDNA.Mean","-2.29554554278121","2.90287340935651","-0.790783895495488","0.429070109202888","-7.98507287679896","3.39398179123655"
"CORT_Model","(Intercept)","-1.19474855909212","0.574466003859793","-2.07975502651976","0.0375480080901541","-2.32068123699997","-0.0688158811842825"
"CORT_Model","CORT.ng.mL.","0.00084168823532379","0.455259575886144","0.00184880951418864","0.998524864273123","-0.891450684118498","0.893134060589146"
