"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Time_Point","X"
"4531 B",64778.978068404,8224.9545436543,0.127083090526176,22.6539643302266,131600914204.661,18.1073143945252,2033224.69838529,"Older",FALSE,4115,1,"B","Yes","Baseline",NA
"4533 B",22684.9376594824,5188.9656127061,0.228996312307155,24.1738748141829,96498044144.862,18.5725686543589,4260637.94950229,"Older",FALSE,4150,2,"E","No","Baseline",NA
"4535 B",24340.2049652906,6146.71014253988,0.252514780790664,24.0709708349329,73711492646.686,18.9792657949978,3029373.83230618,"Older",FALSE,4284,1,"E","No","Baseline",NA
"4619 B",19908.4461134955,5365.987961441,0.270071880884634,24.3621508817737,59181615245.4297,19.3098730641769,2974300.1160809,"Older",FALSE,4470,3,"E","No","Baseline",NA
"4625 B",144397.046574673,7581.7443947028,0.0523736895674301,21.5335067437782,234361098771.485,17.2419087229891,1723007.71682352,"Younger",FALSE,4450,4,"E","No","Baseline",NA
"4720 B",31388.4807981093,5470.72989339888,0.175578629968909,23.7031314755917,82382818059.4224,18.8184560572855,2626930.37734502,"Younger",FALSE,4374,5,"E","No","Baseline",NA
"4737 B",51387.975839249,4760.85930671708,0.0915810364718128,22.9948379415452,49347030980.1826,19.5782713944221,968311.960370284,"Younger",FALSE,4210,6,"C","Yes","Baseline",NA
"4739 B",22704.9584574366,6668.24587612957,0.294522464476799,24.1716248345314,63091829669.0396,19.2097979584309,2779488.42549083,"Younger",FALSE,4023,5,"E","No","Baseline",NA
"4745 B",66425.4507449637,6400.75620857504,0.0964591589823457,22.6171007875065,62876475673.71,19.2149253787238,946678.545518536,"Younger",FALSE,4111,6,"E","No","Baseline",NA
"4758 B",50788.7238946542,6061.26833938717,0.119073579315965,23.0059450245354,52814469764.5809,19.4764368240437,1040281.30546399,"Younger",FALSE,4147,7,"E","No","Baseline",NA
"4761 B",42661.0752285552,5623.07557036058,0.132924736626442,23.2590163914257,93142999944.9258,18.6256348645309,2185849.18994456,"Younger",FALSE,4290,8,"B","Yes","Baseline",NA
"4761 D",27417.4475581522,2428.94773775948,0.087633483810072,23.8996544238113,41518760688.7711,19.8464171391882,1517043.10037039,"Younger",FALSE,4290,8,"B","Yes","Treatment",NA
"4768 B",48259.9919241024,6652.13789216193,0.138262350611227,23.0802504264074,54532168323.2231,19.4476056884824,1130947.10449581,"Younger",FALSE,4171,7,"B","Yes","Baseline",NA
"4775 B",36836.9694243068,6784.88420511863,0.184228898582455,23.4708130512898,208911211455.373,17.4143067192768,5671921.09449765,"Younger",FALSE,4171,7,"C","Yes","Baseline",NA
"4792 B",23167.571739066,5534.7512689614,0.239325420806155,24.1424349168926,129826259302.662,18.1290839855756,5605372.52441767,"Younger",FALSE,4168,10,"B","No","Baseline",NA
"4798 B",27164.131249568,7978.42919633792,0.29476659647266,23.9134218260714,111607588590.887,18.3544266689059,4117872.8703707,"Younger",FALSE,4168,10,"D","Yes","Baseline",NA
"4810 B",20584.3634013585,3655.34771236177,0.177583814627513,24.3136495407729,65667488621.473,19.1497947499448,3191193.174716,"Younger",FALSE,4601,12,"B","Yes","Baseline",NA
"4817 B",37844.1420824484,5451.78047526974,0.144739211756763,23.4326743955887,88898115432.0624,18.6955839390656,2352349.43413405,"Younger",FALSE,NA,12,"B","Yes","Baseline",NA
"4817 D",22121.9190162396,4356.98215842438,0.198618217742077,24.2105283301501,67726932054.5962,19.1034870127844,3067596.48120706,"Younger",FALSE,NA,12,"B","Yes","Treatment",NA
