AgeCategory,ID_Band,Sex,Treatment,Died_InTrt,Treatment_Category
Younger,4741,F,B,0,Heat
Younger,4703,F,B,0,Heat
Younger,4712,F,B,0,Heat
Younger,4787,M,B,0,Heat
Younger,4791,M,B,0,Heat
Younger,4783,M,B,0,Heat
Younger,4757,M,B,0,Heat
Younger,4792,F,B,0,Heat
Younger,4769,M,B,0,Heat
Younger,4816,M,B,0,Heat
Younger,4778,M,B,0,Heat
Younger,4797,F,B,0,Heat
Younger,4788,M,B,0,Heat
Younger,4771,M,B,0,Heat
Younger,4764,M,B,0,Heat
Younger,4725,M,B,0,Heat
Younger,4800,M,B,0,Heat
Younger,4803,M,B,0,Heat
Younger,4809,F,B,0,Heat
Younger,4804,M,B,0,Heat
Younger,4768,F,B,1,Heat
Younger,4761,F,B,1,Heat
Younger,4774,F,B,1,Heat
Younger,4802,F,B,1,Heat
Younger,4810,F,B,1,Heat
Younger,4817,F,B,1,Heat
Younger,4704,F,C,0,Heat
Younger,4782,F,C,0,Heat
Younger,4748,F,C,0,Heat
Younger,4717,F,C,0,Heat
Younger,4731,F,C,0,Heat
Younger,4814,F,C,0,Heat
Younger,4776,F,C,0,Heat
Younger,4805,F,C,0,Heat
Younger,4775,F,C,1,Heat
Younger,4737,F,C,1,Heat
Younger,4759,F,D,0,Heat
Younger,4749,F,D,0,Heat
Younger,4723,F,D,0,Heat
Younger,4735,F,D,0,Heat
Younger,4719,F,D,0,Heat
Younger,4729,F,D,0,Heat
Younger,4795,F,D,0,Heat
Younger,4773,F,D,0,Heat
Younger,4752,F,D,0,Heat
Younger,4765,F,D,0,Heat
Younger,4798,F,D,1,Heat
Younger,4739,F,E,0,Heat
Younger,4745,F,E,0,Heat
Younger,4785,F,E,0,Heat
Younger,4784,F,E,0,Heat
Younger,4758,F,E,0,Heat
Younger,4738,F,E,0,Heat
Younger,4582,F,E,0,Heat
Younger,4777,F,E,0,Heat
Younger,4720,F,E,0,Heat
Younger,4625,F,E,0,Heat
Younger,4772,F,E,0,Heat
Younger,4766,F,E,0,Heat
